dataset_idx,example_id,gold_label,status,base_label,relevant_found,new_label,premise_index,premise_text,n_premises
26,250,False,OK_RELEVANT_FOUND,False,True,Uncertain,1.0,"∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))",4
27,251,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
28,252,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
29,261,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x)),3
30,262,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x)),3
31,263,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,3
32,491,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
33,492,True,OK_RELEVANT_FOUND,True,True,Uncertain,3.0,"∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))",5
34,493,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
35,1173,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
36,1174,False,OK_RELEVANT_FOUND,False,True,Uncertain,1.0,"∀x (Have(x, typeCPort) → ¬ProducedBefore(x, yr2010))",5
37,1175,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"∀x (Have(x, typeCPort) → ¬ProducedBefore(x, yr2010))",5
38,1176,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
39,1177,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
40,1005,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
41,1006,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (Outside(x, solarSystem) ⊕ In(x, solarSystem))",6
42,1007,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
43,518,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
44,519,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
45,520,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
46,698,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
47,1385,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
48,1386,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
49,1387,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
50,1388,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
51,316,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,UnincorporatedCommunity(ordinary),3
52,317,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,UnincorporatedCommunity(ordinary),3
53,921,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
54,922,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (At(x, event) ∧ YoungAdult(x) → Like(x, independence))",7
55,923,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (At(x, event) ∧ YoungAdult(x) → Like(x, independence))",7
56,430,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,3
57,431,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"Play(vicDicara, guitar) ∧ Play(vicDicara, bass)",3
58,913,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
59,914,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (ProfessionalAthlete(x) → SpendOn(x, mostOfTheirTime, sports))",6
60,915,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (ProfessionalAthlete(x) → SpendOn(x, mostOfTheirTime, sports))",6
61,1142,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
62,1143,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ((GrownIn(x, benSYard) ∧ RedFruit(x)) → Contain(x, vitaminC))",6
63,1144,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ((GrownIn(x, benSYard) ∧ RedFruit(x)) → Contain(x, vitaminC))",6
64,1145,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
65,1146,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
66,1202,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
67,1203,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
68,1204,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (WorkAt(x, meta) → HighIncome(x))",6
69,1205,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
70,1206,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
71,1207,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
72,1197,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
73,1198,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
74,708,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
75,1169,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
76,1170,False,OK_RELEVANT_FOUND,False,True,Uncertain,1.0,"∀x ((StudentInTheClass(x) ∧ GoodAt(x, chemistry)) → Enjoy(x, conductingExperiment))",5
77,1171,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
78,1172,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"∀x ((StudentInTheClass(x) ∧ GoodAt(x, chemistry)) → Enjoy(x, conductingExperiment))",5
79,69,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,∀x (Recommended(x) → Easy(x)),6
80,70,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
81,71,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
82,687,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (Rent(x, car) → Spend(x, money))",7
83,1008,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
84,1009,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
85,1010,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
86,1068,Uncertain,SKIP_GOLD_NOT_DECIDED,False,False,,,,5
87,1069,True,SKIP_NOT_CONVERGENT,False,False,,,,5
88,1070,False,SKIP_NOT_CONVERGENT,True,False,,,,5
89,1071,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ((Lipstick(x) ∧ In(x, rougeDiorSet) ∧ In(x, lunarNewYearLimitedEdition) ∧ VelvetFinish(x)) → Refillable(x))",5
90,1072,False,SKIP_NOT_CONVERGENT,True,False,,,,5
91,1073,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
92,1074,False,SKIP_NOT_CONVERGENT,True,False,,,,5
93,1075,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
94,709,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
95,881,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (Athlete(x) → ¬NeverExercises(x)) Never: does not exist a time,5
96,882,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Athlete(x) → ¬NeverExercises(x)) Never: does not exist a time,5
97,883,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
98,910,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
99,911,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
100,912,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
101,201,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"DirectedBy(afterTiller, lanaWilson) ∧ DirectedBy(theDeparture, lanaWilson) ∧ DirectedBy(missAmericana, lanaWilson)",8
102,202,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"DirectedBy(afterTiller, lanaWilson) ∧ DirectedBy(theDeparture, lanaWilson) ∧ DirectedBy(missAmericana, lanaWilson)",8
103,203,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
104,725,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ((Bear(x) ∧ In(x, zoo)) → ¬Wild(x))",2
105,165,False,OK_RELEVANT_FOUND,False,True,Uncertain,1.0,∀x (Leader(x) → (King(x) ⊕ Queen(x))),6
106,166,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Leader(x) → HavePower(x)),6
107,167,True,OK_RELEVANT_FOUND,True,True,Uncertain,5.0,Leader(elizabeth),6
108,976,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
109,977,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
110,978,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
111,54,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
112,55,True,OK_RELEVANT_FOUND,True,True,Uncertain,2.0,"PlayedAs(thomasBarber, halfBack) ∧ PlayedAs(thomasBarber, insideLeft)",4
113,56,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,English(thomasBarber) ∧ ProfessionalFootballer(thomasBarber),4
114,464,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
115,465,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
116,466,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ∀y (PlayIn(y, x, concert) → GoodAtPlaying(y, x))",5
117,1307,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,9
118,1308,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,9
119,1309,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,9
120,668,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,3
121,669,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,3
122,670,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,3
123,671,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,3
124,1402,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
125,1403,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
126,1404,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (Biodegradable(x) → EnvironmentFriendly(x)),6
127,1405,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Biodegradable(x) → EnvironmentFriendly(x)),6
128,697,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (Reptile(x) → ¬Have(x, fur))",2
129,177,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (In(x, newHaven) → ¬High(x))",7
130,178,False,OK_RELEVANT_FOUND,False,True,Uncertain,3.0,"∀x (Bloomberg(x) → In(x, manhattan))",7
131,179,False,SKIP_NOT_CONVERGENT,True,False,,,,7
132,1304,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
133,1305,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (Bird(x) → ¬Ectothermic(x)),7
134,1306,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,∀x (Penguin(x) → Bird(x)),7
135,221,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,Prehistoric(ambiortus) ∧ BirdGenus(ambiortus),4
136,222,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
137,223,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
138,224,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
139,1289,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
140,1290,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
141,1291,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
142,7,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"Built(pierredeRigauddeVaudreuil, fortCarillon)",4
143,8,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
144,9,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
145,840,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
146,841,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (ProfessionalSoccerPlayer(x) → ¬ProfessionalBasketballPlayer(x)),5
147,842,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (ProfessionalSoccerPlayer(x) → ¬ProfessionalBasketballPlayer(x)),5
148,1415,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (Song(x) → ¬Visual(x)),7
149,1416,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Song(x) → ¬Visual(x)),7
150,1417,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Song(x) → ¬Visual(x)),7
151,1418,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
152,1060,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
153,1061,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
154,1062,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
155,1133,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
156,1134,False,SKIP_NOT_CONVERGENT,True,False,,,,5
157,1135,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x ((In(x, yaleSVarsityTeam) ∧ TrickShotArtist(x)) → ¬StruggleAt(x, halfCourtShot))",5
158,1136,True,SKIP_NOT_CONVERGENT,False,False,,,,5
159,1137,False,SKIP_NOT_CONVERGENT,True,False,,,,5
160,1138,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
161,1139,True,SKIP_NOT_CONVERGENT,False,False,,,,5
162,1140,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x ((In(x, yaleSVarsityTeam) ∧ TrickShotArtist(x)) → ¬StruggleAt(x, halfCourtShot))",5
163,1141,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
164,715,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (Plant(x) → ¬Fungi(x)),2
165,735,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
166,628,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
167,355,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
168,356,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
169,357,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (Musician(x) → Have(x, busyLife))",4
170,728,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
171,375,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
172,1372,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
173,1373,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
174,1374,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
175,1375,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
176,1376,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
177,1377,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
178,135,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
179,136,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
180,137,True,OK_RELEVANT_FOUND,True,True,Uncertain,3.0,∀x (InChemicalEndangerment(x) → Harmful(x)),6
181,816,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
182,817,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (Have(x, corporateJob) → ¬Take(x, financialRisk))",5
183,818,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (Have(x, corporateJob) → ¬Take(x, financialRisk))",5
184,569,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∃x (Wildfeed(x) ∧ Unannounced(x) ∧ Program(x)),4
185,570,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∃x (Wildfeed(x) ∧ Unannounced(x) ∧ Program(x)),4
186,571,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
187,376,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
188,377,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
189,378,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
190,427,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
191,428,Uncertain,SKIP_GOLD_NOT_DECIDED,True,False,,,,4
192,429,True,OK_RELEVANT_FOUND,True,True,Uncertain,2.0,Poem(catullus4) ∧ StrongAgingAnalogy(catullus4),4
193,666,True,OK_RELEVANT_FOUND,True,True,Uncertain,2.0,"Adapted(westworld, westworldTheFilm) ∧ Produce(westworldTheFilm, year1973) ∧ Wrote(michael, westworldTheFilm) ∧ Directed(michael, westworldTheFilm)",4
194,667,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,American(westworld) ∧ ScienceFictionThriller(westworld),4
195,655,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
196,656,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
197,77,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"DistrictIn(xiufeng, guilin) ∧ DistrictIn(xiangshan, guilin) ∧ DistrictIn(diecai, guilin) ∧ DistrictIn(qixing, guilin) ∧ City(guilin)",2
198,78,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"DistrictIn(xiufeng, guilin) ∧ DistrictIn(xiangshan, guilin) ∧ DistrictIn(diecai, guilin) ∧ DistrictIn(qixing, guilin) ∧ City(guilin)",2
199,79,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
200,999,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
201,1000,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
202,1001,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
203,183,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"∀x (OwnedBy(x, employee) → ConnectedTo(x, companyWiFi))",5
204,184,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
205,185,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
206,1130,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
207,1131,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
208,1132,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
209,1406,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
210,1407,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
211,1408,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
212,1409,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
213,1248,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
214,1249,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,8
215,1250,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (ThisBrand(x) ∧ Product(x) → (ProducedIn(x, china) ⊕ ProducedIn(x, uS)))",8
216,1251,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (ThisBrand(x) ∧ Product(x) → (ProducedIn(x, china) ⊕ ProducedIn(x, uS)))",8
217,1252,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"∀x (ThisBrand(x) ∧ Product(x) → (ProducedIn(x, china) ⊕ ProducedIn(x, uS)))",8
218,939,True,SKIP_NOT_CONVERGENT,False,False,,,,6
219,940,False,SKIP_NOT_CONVERGENT,True,False,,,,6
220,494,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
221,495,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
222,496,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
223,896,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
224,897,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (BatteryPoweredWatch(x) → ¬AutomaticWatch(x)),5
225,898,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (BatteryPoweredWatch(x) → ¬AutomaticWatch(x)),5
226,899,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,∀x (BatteryPoweredWatch(x) → ¬AutomaticWatch(x)),5
227,686,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
228,696,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
229,419,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
230,420,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
231,1381,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
232,1382,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,7
233,1383,False,OK_RELEVANT_FOUND,False,True,Uncertain,1.0,∀x (Cellphone(x) → Phone(x)),7
234,1384,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,∀x (Cellphone(x) → Phone(x)),7
235,733,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,∀x (IPhone(x) → Electronic(x)),2
236,110,True,OK_RELEVANT_FOUND,True,True,Uncertain,0.0,"Museum(metropolitanMuseumOfArt) ∧ In(metropolitanMuseumOfArt, nYC)",5
237,111,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
238,112,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
239,1117,Uncertain,SKIP_GOLD_NOT_DECIDED,False,False,,,,5
240,1118,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
241,1119,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
242,83,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
243,84,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"Village(gasteren) ∧ Province(drenthe) ∧ In(gasteren, drenthe)",4
244,85,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
245,599,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,9
246,600,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,9
247,601,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,9
248,270,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"FinishesIn(bobbyFlynn, number7) ∧ CompetesOnAustralianIdol(bobbyFlynn)",6
249,271,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
250,272,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,6
251,713,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,2
252,295,True,OK_RELEVANT_FOUND,True,True,Uncertain,1.0,"ShowRunnerOf(maggieFriedman, witchesOfEastEnd) ∧ ExecutiveProducerOf(maggieFriedman, witchesOfEastEnd) ∧ LifetimeTelevisionSeries(maggieFriedman)",5
253,296,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
254,297,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,5
255,358,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
256,359,False,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
257,432,False,OK_RELEVANT_FOUND,False,True,Uncertain,2.0,Song(hoorayHoorayItsAHoliHoliday) ∧ ¬Number1GermanSingle(hoorayHoorayItsAHoliHoliday),4
258,433,True,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
259,434,Uncertain,SKIP_BASE_NOT_DECIDED,Uncertain,False,,,,4
260,692,True,OK_RELEVANT_FOUND,True,True,Uncertain,3.0,"∀x (CanMake(x, cookies) ∧ CanMake(x, muffins) → Baker(x))",6
261,693,False,OK_RELEVANT_FOUND,False,True,Uncertain,0.0,"∀x (Chef(x) → Can(x, cook))",6
262,557,True,OK_RELEVANT_FOUND,True,True,Uncertain,2.0,"∃x (Develop(eTS, x) ∧ AssociatedWith(x, entryToUSEducationInstitution))",4
